,id,name,absolute_magnitude_h,estimated_diameter_kilometers,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_km/s,miss_distance_kilometers,orbiting_body
81,54515856,(2025 AU3),25.395,0.0495,False,2025-01-09,19.4858,3167431,Earth
82,2000887,887 Alinda (A918 AA),13.84,10.14,False,2025-01-08,8.2487,12296605,Earth
83,2451003,451003 (2008 UD1),19.52,0.7414,True,2025-01-08,14.1497,26800560,Earth
84,3485264,(2010 AL30),27.2,0.0216,False,2025-01-08,13.5818,19541496,Earth
85,3576469,(2011 QS2),20.71,0.4286,False,2025-01-08,9.8486,45016913,Earth
86,3692560,(2014 TU),25.09,0.057,False,2025-01-08,7.0313,45581702,Earth
87,3837605,(2019 AE3),27.4,0.0197,False,2025-01-08,9.0801,40671208,Earth
88,3837820,(2019 AK10),20.87,0.3981,False,2025-01-08,25.6851,46228387,Earth
89,3893856,(2019 XL),26.6,0.0284,False,2025-01-08,16.8548,46538177,Earth
90,54051133,(2020 PP5),19.12,0.8913,False,2025-01-08,35.2243,73850570,Earth
91,54104252,(2021 AL),24.7,0.0682,False,2025-01-08,15.5619,36464891,Earth
92,54104549,(2021 AN1),26.86,0.0252,False,2025-01-08,9.2474,18530659,Earth
93,54104723,(2021 AF2),25.3,0.0518,False,2025-01-08,8.6111,23597208,Earth
94,54225011,(2021 VH35),23.34,0.1277,False,2025-01-08,3.3036,62769908,Earth
95,54305021,(2022 SK2),26.5,0.0298,False,2025-01-08,21.2501,15260823,Earth
96,54329646,(2022 WD7),22.43,0.1941,False,2025-01-08,13.1011,59133620,Earth
97,54384198,(2023 RA16),24.41,0.078,False,2025-01-08,15.66,68578044,Earth
98,54419694,(2024 AP2),24.63,0.0705,False,2025-01-08,14.2152,45297049,Earth
99,54421395,(2024 BM1),26.04,0.0368,False,2025-01-08,9.0808,4409704,Earth
100,54512616,(2024 YA10),26.173,0.0346,False,2025-01-08,11.9511,3391681,Earth
101,54513653,(2025 AD),23.901,0.0986,False,2025-01-08,12.5343,21299812,Earth
